hour,SH,PGPH5,RVRTB,PGPH2,GRN
0,0.1,0.0,0.0,0.0,0.7
1,0.0,0.0,0.0,0.0,0.3
2,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.2
5,0.0,0.0,0.0,0.0,0.1
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.2
8,0.0,0.0,0.0,0.0,0.6
9,0.0,0.0,0.0,0.0,1.3
10,0.1,0.0,0.0,0.0,1.1
11,0.1,0.0,0.0,0.0,1.7
12,0.1,0.1,0.1,0.0,4.1
13,0.1,0.0,0.2,0.0,7.1
14,0.0,0.0,0.1,0.0,3.5
15,0.0,0.0,0.0,0.0,2.1
16,0.1,0.0,0.1,0.0,4.3
17,0.1,0.1,0.2,0.0,5.1
18,0.0,0.0,0.1,0.0,4.5
19,0.1,0.0,0.1,0.0,4.1
20,0.0,0.0,0.0,0.0,2.4
21,0.1,0.0,0.1,0.0,1.3
22,0.0,0.0,0.1,0.0,1.5
23,0.0,0.1,0.0,0.0,0.6
24,0.9,0.7,1.2,0.1,47.0
