hour,GRN,PGPH5,PGPH2,RVRTB,SH
0,0.7,0.1,0.0,0.4,0.4
1,0.3,0.0,0.0,0.0,0.2
2,0.2,0.0,0.0,0.1,0.3
3,0.0,0.0,0.0,0.1,0.1
4,0.2,0.0,0.0,0.0,0.1
5,0.1,0.0,0.0,0.0,0.1
6,0.0,0.0,0.0,0.0,0.1
7,0.1,0.0,0.0,0.0,0.1
8,0.4,0.0,0.0,0.0,0.1
9,0.9,0.0,0.0,0.1,0.1
10,1.0,0.1,0.0,0.1,0.2
11,1.3,0.1,0.0,0.2,0.1
12,2.6,0.2,0.1,0.4,0.3
13,4.7,0.1,0.0,0.5,0.3
14,2.3,0.1,0.0,0.5,0.4
15,1.7,0.1,0.1,0.4,0.5
16,2.9,0.1,0.1,0.5,0.4
17,2.7,0.2,0.1,0.7,0.4
18,2.7,0.1,0.1,0.5,0.5
19,2.5,0.1,0.0,0.5,0.5
20,2.0,0.2,0.1,0.3,0.6
21,1.3,0.1,0.0,0.4,0.3
22,1.5,0.2,0.1,0.4,0.5
23,0.8,0.2,0.0,0.4,0.5
24,33.0,2.2,1.1,6.6,7.0
