dorm,type,value
PGPH2,uniqueDevices,180
PGPH2,stayHome,286
PGPH2,changeLevel,16
PGPH2,localNeighborhood,84
PGPH2,campus,100
PGPH2,leftCampus,94
PGPH5,uniqueDevices,96
PGPH5,stayHome,98
PGPH5,changeLevel,6
PGPH5,localNeighborhood,70
PGPH5,campus,136
PGPH5,leftCampus,46
GRN,uniqueDevices,2402
GRN,stayHome,2728
GRN,changeLevel,92
GRN,localNeighborhood,7538
GRN,campus,944
GRN,leftCampus,730
RVRTB,uniqueDevices,690
RVRTB,stayHome,642
RVRTB,changeLevel,136
RVRTB,localNeighborhood,168
RVRTB,campus,104
RVRTB,leftCampus,428
SH,uniqueDevices,968
SH,stayHome,966
SH,changeLevel,194
SH,localNeighborhood,226
SH,campus,260
SH,leftCampus,468
