 hour, # unique devices, # stay at home, # change level, # local neighbourhood, # campus, # left campus ,day
0,1,1,0,0,0,0,8
1,1,0,1,0,0,1,8
2,1,1,0,0,0,1,8
3,1,1,0,0,0,1,8
4,1,1,0,0,0,1,8
5,1,1,0,0,0,1,8
6,1,1,0,0,0,1,8
7,3,3,0,2,13,1,8
8,4,5,0,0,4,1,8
9,3,3,1,0,0,2,8
10,5,5,0,2,1,3,8
11,4,5,0,8,11,2,8
12,2,3,0,0,5,1,8
13,3,3,0,2,4,1,8
14,2,2,0,4,1,1,8
15,2,2,0,0,0,1,8
16,2,1,1,0,0,1,8
17,2,2,0,3,2,1,8
18,3,3,0,2,0,1,8
19,1,1,0,0,0,0,8
20,5,5,0,12,27,1,8
21,0,0,0,0,0,0,8
22,0,0,0,0,0,0,8
23,0,0,0,0,0,0,8
24,48,49,3,35,68,23,8
0,2,2,0,4,5,0,7
1,1,0,1,0,0,0,7
2,1,1,0,0,0,1,7
3,1,1,0,0,0,1,7
4,1,1,0,0,0,1,7
5,1,1,0,0,0,1,7
6,1,1,0,0,0,1,7
7,2,3,0,1,2,1,7
8,5,4,1,2,17,2,7
9,5,5,1,1,5,3,7
10,6,16,0,13,0,3,7
11,4,4,0,5,5,1,7
12,2,4,0,0,0,2,7
13,1,1,0,0,0,1,7
14,5,6,0,8,8,3,7
15,3,3,0,1,3,2,7
16,4,5,0,7,4,1,7
17,2,2,0,1,3,1,7
18,3,2,1,0,0,2,7
19,2,2,0,1,9,1,7
20,1,1,0,0,0,1,7
21,3,3,0,5,17,1,7
22,1,1,0,0,0,1,7
23,1,1,0,0,0,0,7
24,58,70,4,49,78,31,7
0,4,6,0,2,4,0,5
1,3,2,1,6,5,1,5
2,1,1,0,0,0,1,5
3,1,1,0,0,0,1,5
4,1,1,0,0,0,1,5
5,2,2,0,6,7,1,5
6,1,1,0,0,0,1,5
7,2,2,0,3,2,1,5
8,2,2,0,1,0,1,5
9,4,3,1,2,0,2,5
10,5,5,1,3,0,2,5
11,8,5,3,6,14,2,5
12,10,13,0,16,3,6,5
13,8,7,1,7,4,5,5
14,10,9,1,6,10,7,5
15,7,6,1,0,0,6,5
16,9,10,0,5,6,6,5
17,11,12,0,10,3,9,5
18,9,10,0,4,2,5,5
19,10,10,1,7,6,7,5
20,9,11,0,2,4,6,5
21,9,9,1,1,0,9,5
22,9,11,0,2,6,6,5
23,9,14,0,18,4,6,5
24,144,153,11,107,80,92,5
0,1,1,0,0,0,0,6
1,2,1,1,4,11,1,6
2,2,2,0,5,4,1,6
3,2,2,0,7,4,1,6
4,1,1,0,0,0,1,6
5,2,2,0,3,3,1,6
6,1,1,0,0,0,1,6
7,3,6,0,2,3,2,6
8,5,6,1,4,2,1,6
9,8,7,2,3,0,2,6
10,12,8,4,3,1,7,6
11,13,18,1,10,4,9,6
12,14,16,1,17,23,5,6
13,10,9,1,19,25,3,6
14,9,14,0,9,37,6,6
15,13,20,1,8,17,3,6
16,10,8,2,2,23,6,6
17,18,20,1,15,36,10,6
18,16,19,1,17,18,9,6
19,11,14,0,4,5,9,6
20,12,18,0,4,12,7,6
21,15,16,0,20,22,8,6
22,8,8,0,6,15,7,6
23,4,5,0,2,1,4,6
24,192,222,16,164,266,104,6
