day,hour,Dorms_Total
11.0,0.0,0.0
11.0,1.0,0.0
11.0,2.0,0.0
11.0,3.0,0.0
11.0,4.0,0.0
11.0,5.0,0.0
11.0,6.0,0.0
11.0,7.0,0.0
11.0,8.0,0.0
11.0,9.0,8494.0
11.0,10.0,9130.0
11.0,11.0,9437.0
11.0,12.0,9726.0
11.0,13.0,0.0
11.0,14.0,9867.0
11.0,15.0,9898.0
11.0,16.0,9784.0
11.0,17.0,9875.0
11.0,18.0,9989.0
11.0,19.0,9945.0
11.0,20.0,9748.0
11.0,21.0,9784.0
11.0,22.0,10377.0
11.0,23.0,9882.0
12.0,0.0,9645.0
12.0,1.0,8535.0
12.0,2.0,7018.0
12.0,3.0,0.0
12.0,4.0,0.0
12.0,5.0,0.0
12.0,6.0,0.0
12.0,7.0,0.0
12.0,8.0,0.0
12.0,9.0,0.0
12.0,10.0,0.0
12.0,11.0,0.0
12.0,12.0,0.0
12.0,13.0,0.0
12.0,14.0,0.0
12.0,15.0,0.0
12.0,16.0,8214.0
12.0,17.0,581.0
12.0,18.0,3709.0
12.0,19.0,368.0
12.0,20.0,124.0
12.0,21.0,0.0
12.0,22.0,132.0
12.0,23.0,219.0
13.0,0.0,134.0
13.0,1.0,250.0
13.0,2.0,0.0
13.0,3.0,139.0
13.0,4.0,0.0
13.0,5.0,0.0
13.0,6.0,0.0
13.0,7.0,2119.0
13.0,8.0,110.0
13.0,9.0,241.0
13.0,10.0,234.0
13.0,11.0,0.0
13.0,12.0,0.0
13.0,13.0,0.0
13.0,14.0,0.0
13.0,15.0,0.0
13.0,16.0,0.0
13.0,17.0,0.0
13.0,18.0,0.0
13.0,19.0,0.0
13.0,20.0,0.0
13.0,21.0,0.0
13.0,22.0,0.0
13.0,23.0,0.0
